Region,Crop,VoP,Rank,Label,Country,iso3,version
CWANA,sugarcane,1325657600,9,CWANA--sugarcane-9,,,2020
CWANA,sunflower,1235975040,10,CWANA--sunflower-10,,,2020
CWANA,banana,1174475520,11,CWANA--banana-11,,,2020
CWANA,groundnut,1093848576,12,CWANA--groundnut-12,,,2020
CWANA,sorghum,865374784,13,CWANA--sorghum-13,,,2020
CWANA,bean,627913792,14,CWANA--bean-14,,,2020
CWANA,chickpea,614017792,15,CWANA--chickpea-15,,,2020
CWANA,sesameseed,561953152,16,CWANA--sesameseed-16,,,2020
CWANA,lentil,440537504,17,CWANA--lentil-17,,,2020
CWANA,tobacco,388530720,18,CWANA--tobacco-18,,,2020
CWANA,pearl millet,231399248,19,CWANA--pearl millet-19,,,2020
CWANA,soybean,218018640,20,CWANA--soybean-20,,,2020
CWANA,sweet potato,142424960,21,CWANA--sweet potato-21,,,2020
CWANA,yams,45216920,22,CWANA--yams-22,,,2020
CWANA,cowpea,34678788,23,CWANA--cowpea-23,,,2020
CWANA,rapeseed,8054345,24,CWANA--rapeseed-24,,,2020
CWANA,cassava,14892.7236328125,25,CWANA--cassava-25,,,2020
CWANA,coconut,35.7630500793457,26,CWANA--coconut-26,,,2020
CWANA,cocoa,0,,CWANA--cocoa-NA,,,2020
CWANA,oilpalm,0,,CWANA--oilpalm-NA,,,2020
CWANA,pigeonpea,0,,CWANA--pigeonpea-NA,,,2020
CWANA,plantain,0,,CWANA--plantain-NA,,,2020
CWANA,robusta coffee,0,,CWANA--robusta coffee-NA,,,2020
CWANA,arabica coffee,0,,CWANA--arabica coffee-NA,,,2020
WCA,cassava,23164014592,1,WCA--cassava-1,,,2020
WCA,yams,19392833536,2,WCA--yams-2,,,2020
WCA,rice,8932706304,3,WCA--rice-3,,,2020
WCA,groundnut,8393373696,4,WCA--groundnut-4,,,2020
WCA,maize,6804235264,5,WCA--maize-5,,,2020
WCA,plantain,6583454208,6,WCA--plantain-6,,,2020
WCA,cocoa,5505976320,7,WCA--cocoa-7,,,2020
WCA,sorghum,3327410944,8,WCA--sorghum-8,,,2020
WCA,cotton,3258971904,9,WCA--cotton-9,,,2020
WCA,pearl millet,3000913408,10,WCA--pearl millet-10,,,2020
WCA,banana,2707442688,11,WCA--banana-11,,,2020
WCA,cowpea,2611620096,12,WCA--cowpea-12,,,2020
WCA,oilpalm,2172197376,13,WCA--oilpalm-13,,,2020
WCA,sweet potato,1794515840,14,WCA--sweet potato-14,,,2020
WCA,sesameseed,1504716928,15,WCA--sesameseed-15,,,2020
WCA,bean,1452640896,16,WCA--bean-16,,,2020
WCA,potato,795689344,17,WCA--potato-17,,,2020
WCA,robusta coffee,622227264,18,WCA--robusta coffee-18,,,2020
WCA,sugarcane,585450304,19,WCA--sugarcane-19,,,2020
WCA,soybean,582540160,20,WCA--soybean-20,,,2020
WCA,coconut,159095760,21,WCA--coconut-21,,,2020
WCA,tobacco,87423720,22,WCA--tobacco-22,,,2020
WCA,tea,34811484,23,WCA--tea-23,,,2020
WCA,wheat,30172004,24,WCA--wheat-24,,,2020
WCA,arabica coffee,21279062,25,WCA--arabica coffee-25,,,2020
WCA,small millet,16158433,26,WCA--small millet-26,,,2020
WCA,sunflower,6970682,27,WCA--sunflower-27,,,2020
WCA,pigeonpea,4932612.5,28,WCA--pigeonpea-28,,,2020
WCA,chickpea,1338891.5,29,WCA--chickpea-29,,,2020
WCA,sugarbeet,474954.375,30,WCA--sugarbeet-30,,,2020
WCA,barley,471682.375,31,WCA--barley-31,,,2020
WCA,lentil,0,,WCA--lentil-NA,,,2020
WCA,rapeseed,0,,WCA--rapeseed-NA,,,2020
ESA,maize,9954275328,1,ESA--maize-1,,,2020
ESA,tea,6197386240,2,ESA--tea-2,,,2020
ESA,cassava,4926775296,3,ESA--cassava-3,,,2020
ESA,plantain,4284104448,4,ESA--plantain-4,,,2020
ESA,banana,4054490368,5,ESA--banana-5,,,2020
ESA,bean,3925385216,6,ESA--bean-6,,,2020
ESA,sweet potato,3922451456,7,ESA--sweet potato-7,,,2020
ESA,rice,3334572800,8,ESA--rice-8,,,2020
ESA,sugarcane,2640686848,9,ESA--sugarcane-9,,,2020
ESA,potato,2556712704,10,ESA--potato-10,,,2020
ESA,wheat,1941782784,11,ESA--wheat-11,,,2020
ESA,sorghum,1729542656,12,ESA--sorghum-12,,,2020
ESA,sesameseed,1596427520,13,ESA--sesameseed-13,,,2020
ESA,arabica coffee,1518971136,14,ESA--arabica coffee-14,,,2020
ESA,groundnut,1512098816,15,ESA--groundnut-15,,,2020
ESA,tobacco,1221938816,16,ESA--tobacco-16,,,2020
ESA,sunflower,1088979712,17,ESA--sunflower-17,,,2020
ESA,cotton,941361856,18,ESA--cotton-18,,,2020
ESA,soybean,934972672,19,ESA--soybean-19,,,2020
ESA,robusta coffee,714563328,20,ESA--robusta coffee-20,,,2020
ESA,barley,575152640,21,ESA--barley-21,,,2020
ESA,pigeonpea,529889504,22,ESA--pigeonpea-22,,,2020
ESA,small millet,446496960,23,ESA--small millet-23,,,2020
ESA,chickpea,377956064,24,ESA--chickpea-24,,,2020
ESA,cowpea,190709568,25,ESA--cowpea-25,,,2020
ESA,coconut,145725904,26,ESA--coconut-26,,,2020
ESA,pearl millet,141883280,27,ESA--pearl millet-27,,,2020
ESA,rapeseed,85629704,28,ESA--rapeseed-28,,,2020
ESA,lentil,83755872,29,ESA--lentil-29,,,2020
ESA,cocoa,83515192,30,ESA--cocoa-30,,,2020
ESA,yams,48023236,31,ESA--yams-31,,,2020
ESA,oilpalm,18948344,32,ESA--oilpalm-32,,,2020
ESA,sugarbeet,0,,ESA--sugarbeet-NA,,,2020
SEA,rice,17347379200,1,SEA-Vietnam-rice-1,Vietnam,VNM,2020
SEA,robusta coffee,3030064896,2,SEA-Vietnam-robusta coffee-2,Vietnam,VNM,2020
SEA,tea,1937869184,3,SEA-Vietnam-tea-3,Vietnam,VNM,2020
SEA,cassava,1520779776,4,SEA-Vietnam-cassava-4,Vietnam,VNM,2020
SEA,maize,1054449472,5,SEA-Vietnam-maize-5,Vietnam,VNM,2020
SEA,sugarcane,808363648,6,SEA-Vietnam-sugarcane-6,Vietnam,VNM,2020
SEA,banana,680558400,7,SEA-Vietnam-banana-7,Vietnam,VNM,2020
SEA,groundnut,322396000,8,SEA-Vietnam-groundnut-8,Vietnam,VNM,2020
SEA,sweet potato,272930048,9,SEA-Vietnam-sweet potato-9,Vietnam,VNM,2020
SEA,coconut,229204560,10,SEA-Vietnam-coconut-10,Vietnam,VNM,2020
SEA,bean,127776200,11,SEA-Vietnam-bean-11,Vietnam,VNM,2020
SEA,arabica coffee,85349200,12,SEA-Vietnam-arabica coffee-12,Vietnam,VNM,2020
SEA,tobacco,84207408,13,SEA-Vietnam-tobacco-13,Vietnam,VNM,2020
SEA,potato,79095472,14,SEA-Vietnam-potato-14,Vietnam,VNM,2020
SEA,soybean,54393000,15,SEA-Vietnam-soybean-15,Vietnam,VNM,2020
SEA,sesameseed,52552088,16,SEA-Vietnam-sesameseed-16,Vietnam,VNM,2020
SEA,cotton,1333300.5,17,SEA-Vietnam-cotton-17,Vietnam,VNM,2020
SEA,oilpalm,111798.1015625,18,SEA-Vietnam-oilpalm-18,Vietnam,VNM,2020
SEA,barley,36437.8125,19,SEA-Vietnam-barley-19,Vietnam,VNM,2020
SEA,lentil,13755.0986328125,20,SEA-Vietnam-lentil-20,Vietnam,VNM,2020
SEA,wheat,2548.96752929688,21,SEA-Vietnam-wheat-21,Vietnam,VNM,2020
SEA,sunflower,2521.10815429688,22,SEA-Vietnam-sunflower-22,Vietnam,VNM,2020
SEA,chickpea,1218.31896972656,23,SEA-Vietnam-chickpea-23,Vietnam,VNM,2020
SEA,sorghum,1036.60473632813,24,SEA-Vietnam-sorghum-24,Vietnam,VNM,2020
SEA,rapeseed,374.789886474609,25,SEA-Vietnam-rapeseed-25,Vietnam,VNM,2020
SEA,cowpea,186.163330078125,26,SEA-Vietnam-cowpea-26,Vietnam,VNM,2020
SEA,cocoa,0,,SEA-Vietnam-cocoa-NA,Vietnam,VNM,2020
SEA,pigeonpea,0,,SEA-Vietnam-pigeonpea-NA,Vietnam,VNM,2020
SEA,plantain,0,,SEA-Vietnam-plantain-NA,Vietnam,VNM,2020
SEA,pearl millet,0,,SEA-Vietnam-pearl millet-NA,Vietnam,VNM,2020
SEA,sugarbeet,0,,SEA-Vietnam-sugarbeet-NA,Vietnam,VNM,2020
SEA,yams,0,,SEA-Vietnam-yams-NA,Vietnam,VNM,2020
SEA,rice,10866155520,1,SEA-Thailand-rice-1,Thailand,THA,2020
SEA,cassava,4699230720,2,SEA-Thailand-cassava-2,Thailand,THA,2020
SEA,sugarcane,4180291584,3,SEA-Thailand-sugarcane-3,Thailand,THA,2020
SEA,oilpalm,1060432960,4,SEA-Thailand-oilpalm-4,Thailand,THA,2020
SEA,maize,947662912,5,SEA-Thailand-maize-5,Thailand,THA,2020
SEA,banana,366354080,6,SEA-Thailand-banana-6,Thailand,THA,2020
SEA,coconut,143745584,7,SEA-Thailand-coconut-7,Thailand,THA,2020
SEA,tobacco,134850800,8,SEA-Thailand-tobacco-8,Thailand,THA,2020
SEA,tea,93257984,9,SEA-Thailand-tea-9,Thailand,THA,2020
SEA,bean,64856684,10,SEA-Thailand-bean-10,Thailand,THA,2020
SEA,sesameseed,32428352,11,SEA-Thailand-sesameseed-11,Thailand,THA,2020
SEA,potato,31634200,12,SEA-Thailand-potato-12,Thailand,THA,2020
SEA,groundnut,27425674,13,SEA-Thailand-groundnut-13,Thailand,THA,2020
SEA,barley,23201562,14,SEA-Thailand-barley-14,Thailand,THA,2020
SEA,soybean,21789560,15,SEA-Thailand-soybean-15,Thailand,THA,2020
SEA,sorghum,9133904,16,SEA-Thailand-sorghum-16,Thailand,THA,2020
SEA,sunflower,4742786.5,17,SEA-Thailand-sunflower-17,Thailand,THA,2020
SEA,cotton,3261254.5,18,SEA-Thailand-cotton-18,Thailand,THA,2020
SEA,plantain,1241491,19,SEA-Thailand-plantain-19,Thailand,THA,2020
SEA,sweet potato,670601.6875,20,SEA-Thailand-sweet potato-20,Thailand,THA,2020
SEA,wheat,298133.84375,21,SEA-Thailand-wheat-21,Thailand,THA,2020
SEA,cocoa,186836.46875,22,SEA-Thailand-cocoa-22,Thailand,THA,2020
SEA,cowpea,97713.2734375,23,SEA-Thailand-cowpea-23,Thailand,THA,2020
SEA,chickpea,13472.8671875,24,SEA-Thailand-chickpea-24,Thailand,THA,2020
SEA,pigeonpea,4706.5205078125,25,SEA-Thailand-pigeonpea-25,Thailand,THA,2020
SEA,rapeseed,0.294450908899307,26,SEA-Thailand-rapeseed-26,Thailand,THA,2020
SEA,lentil,0.178314343094826,27,SEA-Thailand-lentil-27,Thailand,THA,2020
SEA,pearl millet,0,,SEA-Thailand-pearl millet-NA,Thailand,THA,2020
SEA,sugarbeet,0,,SEA-Thailand-sugarbeet-NA,Thailand,THA,2020
SEA,yams,0,,SEA-Thailand-yams-NA,Thailand,THA,2020
SEA,robusta coffee,0,,SEA-Thailand-robusta coffee-NA,Thailand,THA,2020
SEA,arabica coffee,0,,SEA-Thailand-arabica coffee-NA,Thailand,THA,2020
SEA,rice,6875209216,1,SEA-Philippines-rice-1,Philippines,PHL,2020
SEA,coconut,2249335040,2,SEA-Philippines-coconut-2,Philippines,PHL,2020
SEA,banana,2002765568,3,SEA-Philippines-banana-3,Philippines,PHL,2020
SEA,maize,1476641408,4,SEA-Philippines-maize-4,Philippines,PHL,2020
SEA,plantain,1169254144,5,SEA-Philippines-plantain-5,Philippines,PHL,2020
SEA,sugarcane,987674496,6,SEA-Philippines-sugarcane-6,Philippines,PHL,2020
SEA,cassava,369292448,7,SEA-Philippines-cassava-7,Philippines,PHL,2020
